序号,剧名,导演,主演,简介
83,永生之酒 BACCANO! (2007),"<p><a class=""c_blue"" href=""http://people.mtime.com/1397593/"" target=""_blank"">大森贵弘</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/949417/"" target=""_blank"">阪口大助</a>		 <a class=""c_blue"" href=""http://people.mtime.com/983009/"" target=""_blank"">小野坂昌也</a> </p>","<p class=""mt3"">故事要从头开始讲，1711年（中国正处于雍正年间），一艘航行于大西洋的船上，炼金术士为了掌握长生不老方法，通过召唤恶魔得到..</p>"
84,吉尔莫女孩 Gilmore Girls (2000),"<p><a class=""c_blue"" href=""http://people.mtime.com/1029499/"" target=""_blank"">Jackson Douglas</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913453/"" target=""_blank"">阿丽克西斯·布莱德尔</a>		 <a class=""c_blue"" href=""http://people.mtime.com/913388/"" target=""_blank"">劳伦·格拉汉姆</a> </p>","<p class=""mt3"">Glmore Girl讲述一对关系十分融洽密切的母女在爱情，家庭，学业和事业等方面面临的问题和她们的选择。该剧风格轻松活波，语言..</p>"
85,飞出个未来 Futurama (1999),"<p><a class=""c_blue"" href=""http://people.mtime.com/899447/"" target=""_blank"">里奇·摩尔</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/972016/"" target=""_blank"">比利·维斯特</a>		 <a class=""c_blue"" href=""http://people.mtime.com/962622/"" target=""_blank"">凯特蕾·萨加尔</a> </p>","<p class=""mt3"">这部动画片是The Simpsons的制作班底制作的。 　　Phillip Fry是一个纽约市的25岁的比萨饼快递员，他的生活就是每天四处奔波.1..</p>"
86,生存之民工  (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/906769/"" target=""_blank"">管虎</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/953420/"" target=""_blank"">陶泽如</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1249672/"" target=""_blank"">丁勇岱</a> </p>","<p class=""mt3"">松江市，一个东北边陲的小城。　　一群来自全国各地的农民工为了生存，来到了这里，他们把汗水浸透在城市人未来的梦榻上——“..</p>"
87,人人都恨克里斯 Everybody Hates Chris (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/907534/"" target=""_blank"">杰瑞·莱文</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/976158/"" target=""_blank"">特昆·里奇蒙德</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1182941/"" target=""_blank"">泰勒·詹姆斯·威廉姆</a> </p>","<p class=""mt3"">13岁的黑人小孩克里斯（泰勒·詹姆斯·威廉姆 Tyler James Williams 饰）生活在纽约布鲁克林区，家中有做好几份低等工拼命养家..</p>"
88,家庭教师 Katei Kyoshi Hitman Reborn! (2006),"<p><a class=""c_blue"" href=""http://people.mtime.com/1760008/"" target=""_blank"">Kenichi Imaizumi</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1462385/"" target=""_blank"">市濑秀和</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1760011/"" target=""_blank"">国分优香里</a> </p>",
89,少年魔法师 Wizards of Waverly Place (2007),"<p><a class=""c_blue"" href=""http://people.mtime.com/1488194/"" target=""_blank"">Victor Gonzalez</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/936844/"" target=""_blank"">赛琳娜·戈麦斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1484424/"" target=""_blank"">大卫·亨瑞</a> </p>","<p class=""mt3"">该剧将魔法引入美国家庭日常生活，相比哈利波特这个剧更加幽默并且更具都市感。剧中的卢梭一家是做快餐生意的，因为爸爸出自巫..</p>"
90,福尔摩斯归来 The Return of Sherlock Holmes (1986),"<p><a class=""c_blue"" href=""http://people.mtime.com/1294116/"" target=""_blank"">Peter Hammond</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1024132/"" target=""_blank"">杰瑞米·布雷特</a>		 <a class=""c_blue"" href=""http://people.mtime.com/964718/"" target=""_blank"">爱德华·哈德威克</a> </p>",
91,牵绊的爱 Aikurushii (2005),,"<p><a class=""c_blue"" href=""http://people.mtime.com/938421/"" target=""_blank"">市原隼人</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1095614/"" target=""_blank"">绫濑遥</a> </p>","<p class=""mt3"">讲述的是一个平凡7口之家因为妈妈的病倒而后发生的点点滴滴的事，故事很温馨，典型的野島伸司风格。 住在山田的真柴家一共七口..</p>"
92,火星生活 Life on Mars (2006),"<p><a class=""c_blue"" href=""http://people.mtime.com/1352497/"" target=""_blank"">SJ·克拉克森</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/951364/"" target=""_blank"">约翰·西姆</a>		 <a class=""c_blue"" href=""http://people.mtime.com/936984/"" target=""_blank"">菲利普·格伦尼斯特</a> </p>",
93,重案疑云 The Inside (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/900047/"" target=""_blank"">凯文·霍克斯</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913610/"" target=""_blank"">瑞秋·尼科尔斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/915098/"" target=""_blank"">亚当·鲍德温</a> </p>",
94,唇膏 Lipstick (1999),"<p><a class=""c_blue"" href=""http://people.mtime.com/899606/"" target=""_blank"">永山耕三</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/926269/"" target=""_blank"">三上博史</a>		 <a class=""c_blue"" href=""http://people.mtime.com/924684/"" target=""_blank"">广末凉子</a> </p>","<p class=""mt3"">早川蓝因犯伤害罪而被监护所收容，和他同寝室的有松田惠理子、三池安奈、井川真白和铃丘小鸠都是心灵受伤的少女。监护所来了一..</p>"
95,越狱 Prison Break (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/906979/"" target=""_blank"">葛·艾坦尼斯</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/938160/"" target=""_blank"">阿莫里·诺拉斯科</a>		 <a class=""c_blue"" href=""http://people.mtime.com/939648/"" target=""_blank"">文特沃斯·米勒</a> </p>","<p class=""mt3"">迈克尔·斯科菲尔德是一头陷于绝境欲拼死一搏的怒狮——他的哥哥林肯·巴罗斯被认定犯有谋杀罪被投入了福克斯河监狱的死囚牢。..</p>"
96,黑镜 Black Mirror (2011),"<p><a class=""c_blue"" href=""http://people.mtime.com/1429402/"" target=""_blank"">奥托·巴瑟斯特</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/920684/"" target=""_blank"">托比·凯贝尔</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1867679/"" target=""_blank"">汤姆·库伦</a> </p>","<p class=""mt3"">《黑镜》(Black Mirror)是一部由查理·布洛克主创、英国电视4台播出的科幻系列剧。</p>"
97,实习医生格蕾 Grey's Anatomy (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/902273/"" target=""_blank"">托尼·戈德温</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/924053/"" target=""_blank"">艾伦·旁派</a>		 <a class=""c_blue"" href=""http://people.mtime.com/926461/"" target=""_blank"">帕特里克·德姆西</a> </p>","<p class=""mt3"">欢迎来到格雷斯医院，哈佛医学院西区最艰苦的外科住院医实习程序，医务新人最残酷的训练场。Meredith、Izzie和Christina昨天还..</p>"
98,真探 True Detective (2014),"<p><a class=""c_blue"" href=""http://people.mtime.com/1478907/"" target=""_blank"">凯瑞·福永</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913522/"" target=""_blank"">马修·麦康纳</a>		 <a class=""c_blue"" href=""http://people.mtime.com/913924/"" target=""_blank"">伍迪·哈里森</a> </p>","<p class=""mt3"">这部剧采用多视角叙事，伍迪·哈里森与马修·麦康纳饰演两名侦探搭档，他们一起调查一桩17年前的悬案，寻找涉及该案的路易斯安..</p>"
99,老爸老妈的浪漫史 How I Met Your Mother (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/900527/"" target=""_blank"">帕梅拉·福莱曼</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/961252/"" target=""_blank"">乔什·拉德诺</a>		 <a class=""c_blue"" href=""http://people.mtime.com/918865/"" target=""_blank"">杰森·席格尔</a> </p>","<p class=""mt3"">Ted的好友Marshall突然告诉他，他要向自己相处了很久的女友Lily——一名幼儿园教师求婚。Ted震惊之余，顿悟自己也需要赶快找到..</p>"
100,疑犯追踪 Person of Interest (2011),"<p><a class=""c_blue"" href=""http://people.mtime.com/909431/"" target=""_blank"">理查德·刘易斯</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/923350/"" target=""_blank"">吉姆·卡维泽</a>		 <a class=""c_blue"" href=""http://people.mtime.com/931102/"" target=""_blank"">迈克尔·爱默生</a> </p>","<p class=""mt3"">《疑犯追踪》讲述了一位被误以为已死去的CIA特工与一位神秘的亿万富翁联合起来，运用独有的一套办法阻止犯罪的故事。Reese（Ji..</p>"
