序号,剧名,导演,主演,简介
24,棒球英豪 Touch (1985),"<p><a class=""c_blue"" href=""http://people.mtime.com/908245/"" target=""_blank"">杉井仪三郎</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1046086/"" target=""_blank"">秋元羊介</a>		 <a class=""c_blue"" href=""http://people.mtime.com/951341/"" target=""_blank"">千叶繁</a> </p>","<p class=""mt3"">《棒球英豪》是安达充最为著名、最为成功的作品之一，1981年36号～1986年50号连载于日本的《周刊少年SUNDAY》，1987年结束，单..</p>"
25,福尔摩斯探案全集 The Adventures of Sherlock Holmes (1984),"<p><a class=""c_blue"" href=""http://people.mtime.com/1183475/"" target=""_blank"">Alan Grint</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1024132/"" target=""_blank"">杰瑞米·布雷特</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1239866/"" target=""_blank"">大卫·布克</a> </p>","<p class=""mt3"">天文学知识空白、文学知识空白、哲学知识空白、政治学不及格--这就是歇洛克·福尔摩斯。可是，这又有什么关系？对这位世界上最..</p>"
26,糊涂侦探 Get Smart (1965),"<p><a class=""c_blue"" href=""http://people.mtime.com/1197030/"" target=""_blank"">Norman Abbott</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/986126/"" target=""_blank"">唐·亚当斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1162002/"" target=""_blank"">芭芭拉·费尔顿</a> </p>","<p class=""mt3"">《糊涂侦探》，是由喜剧大师梅尔.布鲁克斯编剧的电视剧集，在60年代仿效当时流行的007系列电影改编的间谍喜剧。</p>"
27,"是，首相 Yes, Prime Minister (1986)","<p><a class=""c_blue"" href=""http://people.mtime.com/1198695/"" target=""_blank"">西德尼·洛特比</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1083901/"" target=""_blank"">Paul Eddington</a>		 <a class=""c_blue"" href=""http://people.mtime.com/950454/"" target=""_blank"">奈杰尔·霍桑</a> </p>","<p class=""mt3"">在野党影子内阁成员吉姆在帮助本党大选获胜之后得到行政事务部部长的职务，从此开始面对以部秘书亨普利为首的公务员体系。</p>"
28,极速前进 The Amazing Race (2001),"<p><a class=""c_blue"" href=""http://people.mtime.com/1283708/"" target=""_blank"">Hans van Riet</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1165102/"" target=""_blank"">菲尔·基欧汉</a>		 <a class=""c_blue"" href=""http://people.mtime.com/991568/"" target=""_blank"">Amber Brkich</a> </p>",
29,马尔柯姆的一家 Malcolm in the Middle (2000),"<p><a class=""c_blue"" href=""http://people.mtime.com/900530/"" target=""_blank"">托德·霍兰德</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913083/"" target=""_blank"">弗朗基·穆尼兹</a>		 <a class=""c_blue"" href=""http://people.mtime.com/978649/"" target=""_blank"">简·卡兹玛拉克</a> </p>","<p class=""mt3"">《马尔柯姆的一家》讲述了一个生于中产阶级家庭的小男孩马金和他的家人的故事。</p>"
30,9局下2出局 9 End 2 Outs (2007),,"<p><a class=""c_blue"" href=""http://people.mtime.com/922644/"" target=""_blank"">秀爱</a>		 <a class=""c_blue"" href=""http://people.mtime.com/927110/"" target=""_blank"">李廷镇</a> </p>","<p class=""mt3"">《9局下2出局》讲述了30多岁的青年男女，在满怀希望走上社会后，遭到背叛，在冷酷的现实下彷徨不定，身心受伤，他们的生活就好..</p>"
51,银河英雄传说 Legend of the Galactic Heroes (1989),"<p><a class=""c_blue"" href=""http://people.mtime.com/898825/"" target=""_blank"">石黑升</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/953184/"" target=""_blank"">玄田哲章</a>		 <a class=""c_blue"" href=""http://people.mtime.com/991730/"" target=""_blank"">中田让治</a> </p>","<p class=""mt3"">十卷本长篇小说《银河英雄传说》是20世纪80年代中叶由日本作家田中芳树所著的一部以浩瀚银河为舞台展现的壮丽英雄史诗。作品于..</p>"
52,风之花园 Kaze no garden (2008),"<p><a class=""c_blue"" href=""http://people.mtime.com/1277865/"" target=""_blank"">石坂理江子</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1248487/"" target=""_blank"">中井贵一</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1193971/"" target=""_blank"">黑木明纱</a> </p>","<p class=""mt3"">在东京的大医院担任麻醉师白鸟患上癌症回到老家。因多年对前妻子不忠，两个孩子早已和他断绝关系。家人之间的羁绊能否化解？</p>"
53,70年代秀 That '70s Show (1998),"<p><a class=""c_blue"" href=""http://people.mtime.com/910056/"" target=""_blank"">David Trainer</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/919257/"" target=""_blank"">托弗·戈瑞斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/952337/"" target=""_blank"">米拉·库妮丝</a> </p>","<p class=""mt3"">电视剧《70年代秀》(That 70s'show)，是美国FOX电视台从1998年8月23日首播、连续播出了8年的一部幽默情景喜剧。已于2006年5月1..</p>"
54,甜心俏佳人 Ally McBeal (1997),"<p><a class=""c_blue"" href=""http://people.mtime.com/900321/"" target=""_blank"">丹尼斯·杜根</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/929845/"" target=""_blank"">卡莉斯塔·弗洛克哈特</a>		 <a class=""c_blue"" href=""http://people.mtime.com/930603/"" target=""_blank"">简·科拉克斯基</a> </p>","<p class=""mt3"">主人翁Ally Mcbeal是个神经质的律师，会念书，会打官司，但是就是不太懂人事她是一个好孩子，从小青梅竹马的男友因为实在不能..</p>"
55,海岸情缘 Summerland (2004),"<p><a class=""c_blue"" href=""http://people.mtime.com/1097702/"" target=""_blank"">Jack Clements</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1053161/"" target=""_blank"">洛莉·路格林</a>		 <a class=""c_blue"" href=""http://people.mtime.com/959198/"" target=""_blank"">肖恩·克里斯汀</a> </p>",
56,绝命毒师 Breaking Bad (2008),"<p><a class=""c_blue"" href=""http://people.mtime.com/900079/"" target=""_blank"">米歇尔·迈凯伦</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/909648/"" target=""_blank"">布莱恩·科兰斯顿</a>		 <a class=""c_blue"" href=""http://people.mtime.com/927900/"" target=""_blank"">亚伦·保尔</a> </p>","<p class=""mt3"">沃尔特是个平凡的高中化学老师，在这个平凡的岗位上工作了25年。他本可以一直这样平凡下去，直到有一天，一纸绝症诊断彻底改变..</p>"
57,纸牌屋 House of Cards (2013),"<p><a class=""c_blue"" href=""http://people.mtime.com/899163/"" target=""_blank"">詹姆斯·弗雷</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/901556/"" target=""_blank"">凯文·史派西</a>		 <a class=""c_blue"" href=""http://people.mtime.com/947408/"" target=""_blank"">罗宾·莱特</a> </p>","<p class=""mt3"">剧集讲述美国政治家弗朗西斯和妻子克莱尔的故事，深深挖掘政治阶层人群的方方面面，聚焦在现代的华盛顿特区，那些光鲜背后的贪..</p>"
58,唐顿庄园 Downton Abbey (2010),"<p><a class=""c_blue"" href=""http://people.mtime.com/1195289/"" target=""_blank"">布莱恩·派西维尔</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/912549/"" target=""_blank"">休·博内威利</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1201952/"" target=""_blank"">米歇尔·道克瑞</a> </p>","<p class=""mt3"">ITV古装剧剧《唐顿庄园》由曾因《高斯福德庄园》而荣获奥斯卡的金牌编剧Julian Fellowes一手打造，明星云集的演员阵容极其耀眼..</p>"
59,24小时 24 (2001),"<p><a class=""c_blue"" href=""http://people.mtime.com/906251/"" target=""_blank"">强·卡萨</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/924434/"" target=""_blank"">基弗·萨瑟兰</a>		 <a class=""c_blue"" href=""http://people.mtime.com/919044/"" target=""_blank"">玛丽·莱恩·莱杰斯库</a> </p>","<p class=""mt3"">失去妻子的杰克·鲍尔已经不在反恐小组工作了，他对这份工作也失去了兴趣，与女儿生活刚刚恢复平静，已经入主白宫的大卫&amp;#..</p>"
60,越狱兔 Usavich (2008),,,"<p class=""mt3"">普京兔和基里连科兔的监狱生活被关在俄罗斯监狱的两只兔子基里连科和普京本来暗无天日的监狱生活希望，却享受他们惬意的轻松的..</p>"
41,走向共和  (2003),"<p><a class=""c_blue"" href=""http://people.mtime.com/1255712/"" target=""_blank"">张黎</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1255711/"" target=""_blank"">吕中</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1018616/"" target=""_blank"">孙淳</a> </p>","<p class=""mt3"">本剧是中国影视作品第一次以史诗般的艺术笔角全景式地呈现了中华民族推翻帝制、走向共和这一波澜壮阔的艰难历程。</p>"
42,威尔与格蕾丝 Will and Grace (1998),"<p><a class=""c_blue"" href=""http://people.mtime.com/898286/"" target=""_blank"">詹姆斯·布罗斯</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/978098/"" target=""_blank"">艾瑞克·麦柯马克</a>		 <a class=""c_blue"" href=""http://people.mtime.com/928966/"" target=""_blank"">黛博拉·梅辛</a> </p>","<p class=""mt3"">《威尔与格蕾丝》""是备受欢迎的艾美奖获奖情景喜剧，其主要讲述了四个好朋友的生活：Will Truman，同性恋律师；Will的好朋友Gr..</p>"
43,猎人 Hunter x Hunter (1999),"<p><a class=""c_blue"" href=""http://people.mtime.com/900394/"" target=""_blank"">古桥一浩</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1109626/"" target=""_blank"">乡田穗积</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1200856/"" target=""_blank"">甲斐田幸</a> </p>","<p class=""mt3"">集冒险、勇敢、斗争、残暴、亲情、友情、爱情等多种元素于一身。它虚构了一个猎人的世界，在这个世界里，充斥着各色的狩猎者与..</p>"
44,夏目友人帐 叁 夏目友人帳 参 (2011),"<p><a class=""c_blue"" href=""http://people.mtime.com/1397593/"" target=""_blank"">大森贵弘</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1097115/"" target=""_blank"">神谷浩史</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1007504/"" target=""_blank"">井上和彦</a> </p>","<p class=""mt3"">夏目贵志从祖母夏目玲子的遗物中得到了那些契约书所做成的“友人帐”，他做出了一个重要的决定：将玲子夺过来的妖怪们的名字一..</p>"
45,母亲 Mother (2010),"<p><a class=""c_blue"" href=""http://people.mtime.com/1264755/"" target=""_blank"">水田伸生</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/951828/"" target=""_blank"">松雪泰子</a>		 <a class=""c_blue"" href=""http://people.mtime.com/996801/"" target=""_blank"">山本耕史</a> </p>","<p class=""mt3"">一边是冷静孤独的女教师，一边是遭受着家庭暴力的女孩，两个毫无血缘关系的人为了找寻新的生活，成为“母女”，踏上了位置的旅..</p>"
46,冤家成双 Coupling (2000),"<p><a class=""c_blue"" href=""http://people.mtime.com/1112162/"" target=""_blank"">Martin Dennis</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/928968/"" target=""_blank"">杰克·达文波特</a>		 <a class=""c_blue"" href=""http://people.mtime.com/959520/"" target=""_blank"">吉娜·贝尔曼</a> </p>","<p class=""mt3"">故事延续着第一季六位主人公的生活。英国式的对白，英国式的幽默。该剧荣获2003年英国喜剧大奖最佳电视喜剧。</p>"
47,舞林争霸 So You Think You Can Dance (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/1281640/"" target=""_blank"">奈吉尔·莱斯格</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1281640/"" target=""_blank"">奈吉尔·莱斯格</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1091761/"" target=""_blank"">卡特·迪莉</a> </p>","<p class=""mt3"">《舞林争霸》制作人班底来自《美国偶像》，目的是要寻找美国最受欢迎的舞者。从街头的海选到进入最后的决选，参赛者秀的就是舞..</p>"
48,故园风雨后 Brideshead Revisited (1981),"<p><a class=""c_blue"" href=""http://people.mtime.com/898981/"" target=""_blank"">查理斯·斯特里奇</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/914870/"" target=""_blank"">杰瑞米·艾恩斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1021350/"" target=""_blank"">安东尼·安德鲁斯</a> </p>","<p class=""mt3"">11集英国电视连续剧《故园风雨后》（Brideshead Revisited）改编自Evelyn Waugh的同名小说，由Granada电视公司出品，1981年10..</p>"
49,小查和寇弟的顶级生活 The Suite Life of Zack and Cody (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/908163/"" target=""_blank"">Henry Chan</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/977326/"" target=""_blank"">布兰达·宋</a>		 <a class=""c_blue"" href=""http://people.mtime.com/965021/"" target=""_blank"">阿什丽·提斯代尔</a> </p>","<p class=""mt3"">《小查和寇弟的顶级生活》是Disney从2005年3月18号开始在Disney频道播出的电视影集。该剧与Disney热播剧《汉娜.孟塔娜》一样非..</p>"
50, Clannad: After Story (2008),,"<p><a class=""c_blue"" href=""http://people.mtime.com/1202427/"" target=""_blank"">中原麻衣</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1511743/"" target=""_blank"">中村悠一</a> </p>","<p class=""mt3"">作为日本著名游戏品牌Key最著名的四季四部曲之一的《CLANNAD》第二部作品。　　在某个小镇，主角冈崎朋也因为家庭的因素成为不..</p>"
61,红楼梦 Hong lou meng (1987),"<p><a class=""c_blue"" href=""http://people.mtime.com/1252557/"" target=""_blank"">王扶林</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1249698/"" target=""_blank"">欧阳奋强</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1257471/"" target=""_blank"">陈晓旭</a> </p>","<p class=""mt3"">87版由中央台和中国电视剧制作中心共同摄制，前29集基本忠实原著，后7集根据前八十回并结合多年红学研究成果重新构建而成。</p>"
62,IT狂人 The IT Crowd (2006),"<p><a class=""c_blue"" href=""http://people.mtime.com/900940/"" target=""_blank"">格拉汉姆·莱因汉</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/930284/"" target=""_blank"">克里斯·奥多德</a>		 <a class=""c_blue"" href=""http://people.mtime.com/928468/"" target=""_blank"">理查德·阿尤阿德</a> </p>","<p class=""mt3"">史上最囧，最雷，最脑残，最出乎意料，最不按常理出牌的IT “精英们”登上银屏了。让超擅长收发邮件、单击和双击鼠标的IT女皇J..</p>"
63,辛普森一家 The Simpsons (1989),"<p><a class=""c_blue"" href=""http://people.mtime.com/899449/"" target=""_blank"">Matthew Nastuk</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/899458/"" target=""_blank"">南茜·卡特莱特</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1006504/"" target=""_blank"">雅德丽·史密斯</a> </p>","<p class=""mt3"">《辛普森一家》讲述的是美国人辛普森一家的生活，父亲荷马是Springfield核能工厂的安全检查员，总体说来是一个善意的小丑。母..</p>"
64,美丽中国 Wild China (2008),,"<p><a class=""c_blue"" href=""http://people.mtime.com/929803/"" target=""_blank"">伯纳德·希尔</a> </p>","<p class=""mt3"">《美丽中国》是由中英联合摄制小组拍摄的一部关于中国野生动物和自然风光的系列记录片，其中有些野生动画和风景的镜头从未在银..</p>"
65,续 夏目友人帐 Zoku natsume yûjinchô (2009),"<p><a class=""c_blue"" href=""http://people.mtime.com/1397593/"" target=""_blank"">大森贵弘</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1009402/"" target=""_blank"">石田彰</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1007504/"" target=""_blank"">井上和彦</a> </p>","<p class=""mt3"">《夏目友人帐》的动画版故事计述的是一位因为看得见妖怪而被人类疏远的女子夏目玲子，为了打发寂寞的日子，她向妖怪们发起挑战..</p>"
66,人人都爱雷蒙德 Everybody Loves Raymond (1996),"<p><a class=""c_blue"" href=""http://people.mtime.com/900534/"" target=""_blank"">迈克尔·莱拜克</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/901223/"" target=""_blank"">雷·罗马诺</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1011508/"" target=""_blank"">帕翠西亚·希顿</a> </p>","<p class=""mt3"">故事发生在一个大家庭中，雷蒙是一个体育专栏作家，有一个漂亮的妻子和可爱的孩子。父母和他住对门，经常开门就进他家厨房，老..</p>"
67,波士顿法律 Boston Legal (2004),"<p><a class=""c_blue"" href=""http://people.mtime.com/904988/"" target=""_blank"">Lou Antonio</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/934636/"" target=""_blank"">詹姆斯·斯派德</a>		 <a class=""c_blue"" href=""http://people.mtime.com/916486/"" target=""_blank"">莫妮卡·波特</a> </p>","<p class=""mt3"">《波士顿法律》(Boston Legal)是讲述的是美国波士顿市一家律师事务所的故事，主要是两位活宝Alan(James Spader)扮演，曾凭该剧..</p>"
68,萤火虫 Firefly (2002),"<p><a class=""c_blue"" href=""http://people.mtime.com/897913/"" target=""_blank"">乔斯·韦登</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/915093/"" target=""_blank"">内森·菲利安</a>		 <a class=""c_blue"" href=""http://people.mtime.com/915094/"" target=""_blank"">吉娜·托瑞斯</a> </p>","<p class=""mt3"">时空背景设定于2517年，人类已探索远行到新的星系。此剧讲述一群异议分子驾驶一艘“萤火虫级”太空船“宁静号”在宇宙中冒险的..</p>"
69,露易斯和克拉克：超人新冒险 Lois & Clark: The New Adventures of Superman (1993),"<p><a class=""c_blue"" href=""http://people.mtime.com/1116210/"" target=""_blank"">Neal Ahern Jr.</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/929906/"" target=""_blank"">迪恩·凯恩</a>		 <a class=""c_blue"" href=""http://people.mtime.com/916533/"" target=""_blank"">泰瑞·海切尔</a> </p>",
70,六尺之下 Six Feet Under (2001),"<p><a class=""c_blue"" href=""http://people.mtime.com/903243/"" target=""_blank"">艾伦·鲍尔</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/958080/"" target=""_blank"">迈克尔·C·豪尔</a>		 <a class=""c_blue"" href=""http://people.mtime.com/939298/"" target=""_blank"">瑞切尔·格里菲斯</a> </p>","<p class=""mt3"">故事基本上是围绕殡葬业者Fisher一家展开，而这个家庭是以在美国殡仪业大势并购垄断下，仍努力坚持家族式服务为生的。老大Nate..</p>"
1,老友记 Friends (1994),"<p><a class=""c_fff"" href=""http://people.mtime.com/900523/"" target=""_blank"">凯文·布赖特</a></p>","<p><a class=""c_fff"" href=""http://people.mtime.com/913613/"" target=""_blank"">詹妮弗·安妮斯顿</a>		 <a class=""c_fff"" href=""http://people.mtime.com/900540/"" target=""_blank"">大卫·休默</a> </p>","<p class=""mt3"">故事主要描述了住在纽约的六个好朋友从相识到后来一起经历了9年的生活中发生的一系列的故事，朋友间的生活、友谊、麻烦、欢笑..</p>"
2,海贼王 One Piece (1999),"<p><a class=""c_fff"" href=""http://people.mtime.com/903908/"" target=""_blank"">宇田钢之助</a></p>","<p><a class=""c_fff"" href=""http://people.mtime.com/990425/"" target=""_blank"">田中真弓</a>		 <a class=""c_fff"" href=""http://people.mtime.com/990418/"" target=""_blank"">中井和哉</a> </p>","<p class=""mt3"">故事围绕着梦想和同伴的友谊两个主题展开。整个作品拥有自己庞大的世界观。</p>"
3,野外求生 Man vs. Wild (2006),"<p><a class=""c_fff"" href=""http://people.mtime.com/1833459/"" target=""_blank"">Mike Warner</a></p>","<p><a class=""c_fff"" href=""http://people.mtime.com/1719630/"" target=""_blank"">贝尔·格里尔斯</a> </p>",
4,人类星球 Human Planet (2011),"<p><a class=""c_blue"" href=""http://people.mtime.com/1224153/"" target=""_blank"">Nicolas Brown</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/914343/"" target=""_blank"">约翰·赫特</a> </p>",
5,猫和老鼠 Tom and Jerry (1965),"<p><a class=""c_blue"" href=""http://people.mtime.com/910325/"" target=""_blank"">特克斯·艾弗里</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/910325/"" target=""_blank"">特克斯·艾弗里</a>		 <a class=""c_blue"" href=""http://people.mtime.com/903287/"" target=""_blank"">约瑟夫·巴伯拉</a> </p>","<p class=""mt3"">猫和老鼠（英文：Tom and Jerry，台湾电视公司1970年代播出时曾经称作“妙妙妙”，华纳家庭娱乐在台湾发行的DVD称为“汤姆猫与..</p>"
6,地球脉动 Planet Earth (2006),"<p><a class=""c_blue"" href=""http://people.mtime.com/907456/"" target=""_blank"">艾雷斯泰·法瑟吉尔</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/900262/"" target=""_blank"">大卫·艾登堡</a>		 <a class=""c_blue"" href=""http://people.mtime.com/919112/"" target=""_blank"">西格妮·韦弗</a> </p>","<p class=""mt3"">《地球脉动》由得过多项大奖的《蓝色星球》原班人马拍摄制作，是对地球空前绝后的礼赞，拥抱地球上不可思议的美景和自然生物。..</p>"
7,兄弟连 Band of Brothers (2001),"<p><a class=""c_blue"" href=""http://people.mtime.com/902239/"" target=""_blank"">大卫·弗兰科尔</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/917996/"" target=""_blank"">戴米恩·刘易斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/919894/"" target=""_blank"">朗·里维斯顿</a> </p>","<p class=""mt3"">该剧描写美国101空军部队的一个小支队Easy Company的真实故事，他们参与了盟军空降法国的任务，以及其后整个欧洲的战事。1942..</p>"
8,成长的烦恼 Growing Pains (1985),"<p><a class=""c_blue"" href=""http://people.mtime.com/905618/"" target=""_blank"">安迪·卡迪夫</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/901290/"" target=""_blank"">乔安娜·科恩斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/965651/"" target=""_blank"">特里茜·古德</a> </p>","<p class=""mt3"">《成长的烦恼》讲述的是关于居住在美国郊区（也许用“城市远郊”这个词更恰当）的西维尔（Seaver）一家的故事。他们生活在纽约..</p>"
9,灌篮高手 Slam Dunk (1993),"<p><a class=""c_blue"" href=""http://people.mtime.com/1280053/"" target=""_blank"">坂本信人</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/990413/"" target=""_blank"">草尾毅</a>		 <a class=""c_blue"" href=""http://people.mtime.com/976131/"" target=""_blank"">绿川光</a> </p>","<p class=""mt3"">《灌篮高手》是一部围绕青少年篮球运动的日本幽默卡通巨片。 该片卡通人物形象幽默、语言风趣，是一部不可多得的卡通电视精品。</p>"
10,银魂 Gintama (2006),"<p><a class=""c_blue"" href=""http://people.mtime.com/1357671/"" target=""_blank"">高松信司</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/949417/"" target=""_blank"">阪口大助</a>		 <a class=""c_blue"" href=""http://people.mtime.com/949410/"" target=""_blank"">钉宫理惠</a> </p>","<p class=""mt3"">“银魂”是1919年劳斯莱斯推出的一种车的型号。《银魂》是《周刊少年JUMP》连载中的人气漫画。它的故事背景取自江户。从宇宙来..</p>"
