汉堡王（松江新城店19470）
鱼多多鲜鱼馆
江南蒸菜(翰莘美食广场店)
功夫蒸菜
这就是生活
TACO STAR塔可星(文汇店)
皖味小炒
麦可滋现烤汉堡(松江大学城店)
星巴克专星送
客菲乐现烤汉堡(松江大学城店)
李记烧烤龙虾(保利西子湾店)
安徽大排档
蒸湘记小菜
张亮麻辣烫(松江大学城文汇路店)
祖船骨汤麻辣烫(文汇路店)
小成都藤椒鸡(大学城二期店)
鱼拿酸菜鱼(大学城店)
一品快餐
虾得乐烧汁虾米饭
豪大大鸡排(松江大学城店)
遇见猪脚饭(大学城店)
恰食.芝士薄饼.披萨焗饭
香茵波克现烤汉堡(松江大学店)
酱子拉面·日式炒饭
