address,company,detail,position
西安,"
大疆
",本科以上 | 1年以下 | 全职 | 4000-6000元,客服专员 助理
深圳,"
大疆
",本科以上 | 3年以上 | 全职,TE工程师
深圳,"
大疆
",本科以上 | 3年以上 | 全职,市场专员
深圳,"
大疆
",本科以上 | 2年以上 | 全职,销售专员
--,"
大疆
",本科以上 | 5年以上 | 全职,人力资源经理
深圳,"
大疆
",本科以上 | 2年经验 | 全职 | 1.5-2.5万/月,高级社交媒体运营专员
贵港,"
新城控股
",本科以上 | 3年以上 | 全职,商业销售经理
上海,"
新城控股
",本科以上 | 3年以上 | 全职,总部智慧工地项目经理主管
西安,"
新城控股
",本科以上 | 5-7年经验 | 全职 | 1.2-2.2万/月,人力资源高级经理 副总监
武汉,"
新城控股
",本科以上 | 5年以上 | 全职,策划经理
长沙,"
新城控股
",本科以上 | 5年以上 | 全职,株洲项目营销负责人
北京,"
新城控股
",本科以上 | 1年以上 | 全职 | 7.2-9.6万元,项目综合文员
宁波,"
新城控股
",本科以上 | 5年以上 | 全职 | 24.0-30.0万元,投资拓展经理
德阳,"
新城控股
",本科以上 | 5年以上 | 全职 | 12.0-19.2万元,行政人事经理
绍兴,"
新城控股
",大专以上 | 2年以上 | 全职 | 8.4-9.6万元,招商主管
苏州,"
新城控股
",大专以上 | 1年以上 | 全职 | 4.8-7.2万元,置业顾问
贵港,"
新城控股
",大专以上 | 1年以上 | 全职 | 4.8-7.2万元,置业顾问
贵港,"
新城控股
",本科以上 | 5年以上 | 全职 | 18.0-24.0万元,工程经理
贵港,"
新城控股
",本科以上 | 3年以上 | 全职 | 12.0-18.0万元,机电设计师
徐州,"
新城控股
",大专以上 | 5年以上 | 全职 | 12.0-18.0万元,渠道副总监经理
武汉,"
新城控股
",大专以上 | 3年以上 | 全职 | 12.0-18.0万元,暖通工程师
广州,"
网易
",大专以上 | 3-5年 | 全职 | 20000-40000元,游戏服务端开发工程师
广州,"
网易
",中专以上 | 1年经验 | 全职 | 3-5千/月,网易易间-咖啡师助理-广州
杭州,"
网易
",本科以上 | 6年以上 | 全职,采购经理总监
广州,"
网易
",本科以上 | 全职 | 4.8-7.2万元,人事专员
上海,"
网易
",本科以上 | 1年以上 | 全职 | 1.5-2.0万元,韩语项目管理
上海,"
网易
",全职 | 12.0-24.0万元,社会化媒体营销专员
杭州,"
网易
",本科以上 | 5年以上 | 全职 | 15-30万,测试开发工程师 Technology Center005
广州,"
网易
",本科以上 | 1年以上 | 全职,海外广告投放Twitter市场与渠道中心934
南京,"
网易
",本科以上 | 5年以上 | 全职 | 24.0-60.0万元,网易严选资深Java开发工程师
深圳,"
网易
",5年以上 | 全职,跨境支付业务经理网易支付005
杭州,"
网易
",本科以上 | 3年以上 | 全职 | 12.0-36.0万元,资深采购
广州,"
网易
",本科以上 | 5年以上 | 全职,G110系统策划 海神事业部400
广州,"
网易
",本科以上 | 全职 | 6-8千/月,网易游戏-短视频后期制作专员
上海,"
网易
",本科以上 | 3年以上 | 全职,高级java服务端开发工程师
杭州,"
网易
",本科以上 | 5年以上 | 全职,资深系统策划
成都,"
腾讯
",本科以上 | 应届毕业生 | 全职 | 6.0-7.2万元,反洗钱专员
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,31112腾讯视频游戏中心产品策划
上海,"
腾讯
",本科以上 | 5年以上 | 全职,30623腾讯广告联盟应用开发高级工程师
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,TEG17AI后台研发工程师
北京,"
腾讯
",本科以上 | 3年以上 | 全职,27087市场营销
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,25667腾讯云高级数据分析师
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,4921526699智慧零售前端开发工程师
北京,"
腾讯
",本科以上 | 3年以上 | 全职,CSIG07云平台安全工程师
重庆,"
腾讯
",本科以上 | 5年以上 | 全职,25666腾讯云西南区域销售
广州,"
腾讯
",本科以上 | 2年以上 | 全职,WXG02122 微信监控平台算法工程师
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,S2财付通高级结算分析经理
深圳,"
腾讯
",本科以上 | 5年以上 | 全职,22989高级产品经理
深圳,"
腾讯
",本科以上 | 8年以上 | 全职,29309生态建设中心开发者与创业生态组行业策划经理
深圳,"
腾讯
",本科以上 | 3年以上 | 全职,5130018402移动游戏数据分析
深圳,"
腾讯
",本科以上 | 2年以上 | 全职,27092游戏合作商务经理
深圳,"
华为
",本科以上 | 5年以上 | 全职,云中间件架构师798095739949
西安,"
华为
",硕士以上 | 3年以上 | 全职,数字芯片与算法设计工程师
武汉,"
华为
",本科以上 | 3年以上 | 全职,高级嵌入式软件开发工程师798098779886
